callsign,freq_mhz,city,state,class,erp_kw,lat,lon
KFLU-LD,599,Fayetteville,AR,LPD,5.0,36.14722,-94.18722
KFSM-TV,497,Fort Smith,AR,DTV,608.0,35.83036,-94.15675
KFTA-TV,551,Fort Smith,AR,DTV,600.0,35.71,-94.13778
KHBS,515,Fort Smith,AR,DTV,325.0,35.07097,-94.67889
KHMF-LD,587,Fort Smith,AR,LPT,15.0,35.52506,-94.3745
KHOG-TV,479,Fayetteville,AR,DTV,180.0,36.01583,-94.08333
KIPB-LD,503,Pine Bluff,AR,LPD,15.0,34.21286,-92.02069
KJNB-CD,485,Jonesboro,AR,DCA,15.0,36.05833,-90.94333
KJTB-LD,605,Paragould,AR,LPD,0.8,35.90736,-90.69336
KKAF-LD,569,Fayetteville,AR,LPT,15.0,36.14722,-94.18722
KKAP,605,Little Rock,AR,DTV,50.0,34.79889,-92.49583
KKME-LD,575,Little Rock,AR,LPD,15.0,34.79917,-92.49167
KKYK-CD,515,Little Rock,AR,DCA,15.0,34.79889,-92.49583
KLFI-CD,599,Texarkana,AR,DCA,8.0,33.43019,-94.08589
KLMB-CD,605,El Dorado,AR,DCA,0.5,33.20636,-92.65403
KLRA-CD,509,Little Rock,AR,DCA,15.0,34.79889,-92.49583
KLRT-TV,569,Little Rock,AR,DTV,1000.0,34.79917,-92.49167
KMYA-DT,497,Camden,AR,DTV,530.0,33.27089,-92.70394
KMYA-LD,539,Sheridan,AR,LPD,15.0,34.79203,-92.47739
KNWA-TV,587,Rogers,AR,DTV,820.0,36.41186,-93.95381
KPBI-CD,581,Bentonville,AR,DCA,15.0,36.14722,-94.18722
KQRY-LD,539,Fort Smith,AR,LPD,15.0,35.44758,-94.36522
KQRY-LD,545,Fort Smith,AR,LPD,15.0,35.44758,-94.36522
KRAH-CD,599,Morrilton,AR,DCA,15.0,34.79889,-92.49583
KSJF-CD,521,Siloam Springs,AR,DCA,15.0,35.44758,-94.36522
KTEJ,509,Jonesboro,AR,DTV,322.9,35.90389,-90.77056
KTEV-LD,503,Texarkana,AR,LPD,15.0,33.37756,-94.17522
KTHV,207,Little Rock,AR,DTV,55.0,34.79917,-92.5
KTVE,551,El Dorado,AR,DTV,822.8,33.07822,-92.22525
KTVV-LD,497,Hot Springs,AR,LPD,10.0,34.79889,-92.49583
KUFS-LD,503,Fort Smith,AR,LPD,15.0,35.06881,-94.67997
KVTH-DT,485,Hot Springs,AR,DTV,52.6,34.37222,-93.04694
KVTJ-DT,497,Jonesboro,AR,DTV,420.0,35.60366,-90.5218
KVTN-DT,533,Pine Bluff,AR,DTV,725.0,34.53214,-92.04489
KWBM,575,Harrison,AR,DTV,191.0,36.705,-93.06278
KWFT-LD,503,Siloam Springs,AR,LPD,12.5,36.14708,-94.19067
KWMO-LD,563,Hot Springs,AR,LPD,15.0,34.79806,-92.49278
KWNL-CD,575,Winslow,AR,DCA,15.0,36.14722,-94.18722
KWOG,563,Springdale,AR,DTV,80.0,36.06306,-94.20736
KXKY-LD,593,Fort Smith,AR,LPD,14.0,35.52506,-94.3745
KXMP-LD,183,Harrison,AR,LPD,2.5,36.19136,-93.19889
KXNW,539,Eureka Springs,AR,DTV,130.0,36.41136,-93.95358
WPYM-LD,485,Little Rock,AR,LPD,2.5,34.50114,-90.99228
K11UU-D,201,Pago Pago,AS,LPD,0.3,-14.35389,-170.73833
KBAD-LD,569,Pago Pago,AS,LPD,2.0,-14.31758,-170.76422
K03IL-D,63,Bullhead City,AZ,LPT,0.021,35.21278,-114.55583
K04GT-D,69,Bullhead City,AZ,LPT,0.116,35.21278,-114.55583
K04SE-D,69,Buckeye,AZ,LPD,3.0,33.49306,-112.93778
K05MR-D,79,Bullhead City,AZ,LPT,0.093,35.21278,-114.55583
K06AE-D,85,Prescott,AZ,LPT,0.5,34.68722,-112.11736
K06QW-D,85,Sentinel,AZ,LPD,1.3,33.05847,-112.23167
K07YJ-D,177,Bullhead City,AZ,LPT,0.06,35.21278,-114.55583
K08PK-D,183,Bullhead City,AZ,LPT,0.116,35.21278,-114.55583
K08QN-D,183,Golden Valley,AZ,LPT,1.0,35.335,-114.21556
K11LC-D,201,Prescott,AZ,LPT,0.2,34.48889,-112.53822
K12OF-D,207,Bullhead City,AZ,LPT,0.094,35.21278,-114.55583
K12XP-D,207,Phoenix,AZ,LPD,3.0,33.33253,-112.06628
K14HC-D,473,Prescott,AZ,LPT,1.8,34.49031,-112.5345
K14HG-D,473,Kingman,AZ,LPT,0.8,35.08111,-113.90439
K14KK-D,473,Flagstaff,AZ,LPT,0.63,35.24056,-111.59736
K14NA-D,473,Globe & Miami,AZ,LPT,0.49,33.34006,-110.87053
K14RK-D,473,Phoenix,AZ,LPD,15.0,33.33336,-112.06319
K15CR-D,479,Lake Havasu City,AZ,LPT,1.09,34.6025,-114.37106
K15HY-D,479,Williams-Ashfork,AZ,LPT,1.0,35.20028,-112.20511
K15LR-D,479,Meadview,AZ,LPT,1.96,35.86331,-114.09661
K16BP-D,485,Cottonwood,AZ,LPT,15.0,34.68689,-112.11708
K16EV-D,485,Bullhead City,AZ,LPT,1.1,35.03583,-114.37133
K17DA-D,491,Lake Havasu City,AZ,LPT,15.0,34.6025,-114.37111
K17MO-D,491,Flagstaff,AZ,LPD,1.0,35.24056,-111.59736
K17NS-D,491,Chloride,AZ,LPT,0.05,35.39692,-114.17189
K17PF-D,491,Casas Adobes,AZ,DCA,15.0,32.24911,-111.11664
K18CB-D,497,Bullhead City,AZ,LPT,2.54,35.24719,-114.74383
K18DD-D,497,Camp Verde,AZ,LPD,13.8,34.68722,-112.11736
K18LZ-D,497,Kingman,AZ,LPT,1.26,35.08139,-113.90467
K18NN-D,497,Globe,AZ,LPD,10.0,33.28922,-110.82981
K19CX-D,503,Yuma,AZ,LPT,1.8,32.67328,-114.33714
K19FD-D,503,Camp Verde,AZ,LPD,0.5,34.47028,-111.87319
K19IP-D,503,Flagstaff,AZ,LPD,1.0,35.24172,-111.61056
K19KV-D,503,Prescott,AZ,LPT,1.2,34.49028,-112.53406
